2,34,52,68
2,34,52,68
83,100,114,132
150,166,185,197
150,166,185,197
211,227,241,251
261,271,280,291
261,271,280,291
309,327,346,369
387,407,427,447
387,407,427,447
465,480,495,506
518,530,552,568
518,530,552,568
582,594,608,629
642,657,671,682
642,657,671,682
697,711,721,737
752,767,779,803
752,767,779,803
826,849,864,885
901,917,931,941
901,917,931,941
956,986,1002,1020
1043,1072,1097,1111
1043,1072,1097,1111
1126,1144,1162,1183
1202,1222,1237,1255
1202,1222,1237,1255
1270,1282,1296,1311
1329,1347,1358,1376
1329,1347,1358,1376
1391,1418,1436,1455
1480,1498,1515,1535
1480,1498,1515,1535
1558,1582,1604,1627
1650,1674,1698,1713
1650,1674,1698,1713
1727,1743,1761,1779
1804,1852,1903,1932
1804,1852,1903,1932
1953,1977,1992,2013
2031,2053,2080,2100
2031,2053,2080,2100
2129,2158,2173,2192
2216,2240,2273,2310
2216,2240,2273,2310
2350,2404,2432,2460
2485,2513,2535,2566
2485,2513,2535,2566
2597,2615,2634,2656
2675,2710,2749,2793
2675,2710,2749,2793
2813,2827,2845,2857
2877,2909,2934,2985
2877,2909,2934,2985
3044,3114,3161,3187
3216,3242,3265,3282
3216,3242,3265,3282
3304,3329,3342,3367
3387,3411,3441,3464
3387,3411,3441,3464
3492,3515,3535,3552
3565,3585,3594,3617
3565,3585,3594,3617
3631,3653,3676,3702
3734,3766,3811,3872
3734,3766,3811,3872
3934,3992,4023,4067
4091,4112,4135,4155
4091,4112,4135,4155
4175,4200,4228,4244
4266,4286,4300,4324
4266,4286,4300,4324
4350,4383,4432,4486
4512,4532,4556,4579
4512,4532,4556,4579
4602,4614,4627,4658
4707,4760,4811,4856
4707,4760,4811,4856
4903,4981,5055,5092
5106,5119,5138,5158
5106,5119,5138,5158
5179,5193,5219,5231
5243,5273,5325,5395
5243,5273,5325,5395
5449,5496,5553,5611
5674,5760,5831,5886
5674,5760,5831,5886
5950,6025,6092,6156
